hugo	rank	sampleSize	pvalue	padjust
GFRA3	97	24	2.47703534217766e-05	0.00278474952643787
GIGYF1	98	24	2.51053673110709e-05	0.00279361255640028
KIF25	99	24	2.61775886484161e-05	0.00288350105263614
ELOVL3	100	23	2.6710753139791e-05	0.00291280762989421
TBX4	101	24	2.96967464754253e-05	0.00320636653776746
QRFPR	102	24	3.05175655093479e-05	0.00326268678313175
HSD17B1	103	24	3.25338318395935e-05	0.00344447996321134
COL14A1	104	24	3.31614136379126e-05	0.00347716553578305
PLA2G3	105	22	3.46318861125615e-05	0.0035967687434046
GALR3	106	24	3.79575259813243e-05	0.00390497000779568
PCDHGB6	107	24	3.8323015318927e-05	0.00390572413133551
GYPC	108	24	4.013800303872e-05	0.00405282336238187
C17orf64	109	24	4.06763338529009e-05	0.00406949927216408
PCDHB14	110	20	4.1137743849855e-05	0.00407824633347881
DNM3	111	24	4.30797332764159e-05	0.00423229271512896
ECT2L	112	24	4.36817953173663e-05	0.00425312480299892
EFEMP1	113	24	4.42423537470199e-05	0.00426958289921462
ELMO3	114	24	4.95936298835997e-05	0.00472721158936134
MRPS21	115	24	4.99843756827085e-05	0.00472721158936134
LHX8	116	23	5.02848733943985e-05	0.00472721158936134
LRRN4	117	24	5.15248642015523e-05	0.0048023815736575
FERD3L	118	24	5.32857893768678e-05	0.00492441977249782
CLEC14A	119	24	5.47946888841749e-05	0.00498251155138268
PCDHB15	120	22	5.48281876355728e-05	0.00498251155138268
ALKBH7	121	24	6.09712344357912e-05	0.00549496951671325
AGTR1	122	24	6.54518317949607e-05	0.0058504280797053
CLIP3	123	24	6.82381864962349e-05	0.00604989775399546
RARRES2	124	24	6.90971915114355e-05	0.00607665220509842
SYNPR	125	24	7.36341513472316e-05	0.00642384336353248
HIST1H2BB	126	24	7.93271591871657e-05	0.00686557675346065
SOX15	127	24	8.03740185188577e-05	0.00687187799773148
HIST1H3C	128	24	8.06602827794249e-05	0.00687187799773148
WDR52	129	24	8.26028328864655e-05	0.0069659726376006
ZNF132	130	20	8.30423147994569e-05	0.0069659726376006
PCDHGA3	131	23	8.63148940633332e-05	0.00718522076153167
ITGA4	132	24	8.74381062882201e-05	0.00722357991722
AQP7	133	24	9.04191696755281e-05	0.00741369207001228
GAS2	134	23	9.67921982116357e-05	0.00782061046253461
DNAJC6	135	24	9.79315181521662e-05	0.00782061046253461
AEBP1	136	24	9.8027290315262e-05	0.00782061046253461
LAMA2	137	24	9.82506770625622e-05	0.00782061046253461
AQP1	138	22	0.000101138563917744	0.00797570475989209
P2RY6	139	24	0.000102162660875561	0.00797570475989209
PUS3	140	17	0.00010239327523016	0.00797570475989209
NPHS2	141	24	0.00011483926750567	0.0088817178166619
CA3	142	24	0.000121802042142242	0.00935388218000806
RUSC1	143	24	0.000127638795975665	0.00973357391688554
HOXB6	144	24	0.000131225140635991	0.00993757054607976
CYP4X1	145	24	0.000138118424162416	0.0103219356170681
CDO1	146	24	0.0001381937276563	0.0103219356170681
NMBR	147	24	0.000150638829611802	0.0111063622317506
IGF2BP3	148	24	0.000151784349878276	0.0111063622317506
LTB4R	149	24	0.000152733524597646	0.0111063622317506
ALOX15B	150	24	0.000152769769350077	0.0111063622317506
MARCH1	151	24	0.000156700057866273	0.0113166498743822
BEST4	152	22	0.00016008215299904	0.0114848413056219
CCDC13	153	24	0.000167467441527466	0.011936159802987
PARP10	154	17	0.000169424930459888	0.011997265367955
YJEFN3	155	17	0.0001772840561339	0.0124676607879495
CDH6	156	24	0.000178354432179746	0.0124676607879495
TRIM68	157	24	0.00018270483134817	0.012690421565935
KLHL31	158	24	0.000194295846740799	0.0134101025867621
PON3	159	24	0.000199129975167923	0.0136573105610453
IGF2	160	23	0.000201841391090772	0.0137567523115305
PDLIM4	161	24	0.000209457499226548	0.0141871678823945
DPYS	162	24	0.000216494683495079	0.0145303150790305
UCN	163	24	0.000217188570186333	0.0145303150790305
AMT	164	16	0.00022123764276976	0.0147109542341722
CR1L	165	24	0.000244603408282222	0.0161660616201069
ITGA8	166	24	0.000252265189813139	0.0165719993669414
SNX32	167	24	0.00026220573603536	0.017028677443317
CD8B	168	24	0.000263158518058694	0.017028677443317
PCDH10	169	24	0.000263901557810231	0.017028677443317
GPT	170	22	0.000279867207450399	0.0178955679174964
FAM135B	171	24	0.000280618258953864	0.0178955679174964
SLC2A14	172	24	0.000293899540132243	0.0186335725880355
CBR1	173	24	0.000315305418105651	0.0198751767886828
AKR1E2	174	24	0.000337293195008831	0.0210755365850963
GAL3ST3	175	24	0.000338213562805305	0.0210755365850963
NRN1L	176	24	0.000340458373325879	0.0210948781881745
UPK3A	177	24	0.000357772583896352	0.0219307022864263
CAND2	178	16	0.000357970197797696	0.0219307022864263
SLC6A5	179	24	0.000384105235637224	0.0234003776235974
NLGN1	180	24	0.000389701336058407	0.0236094059428718
SPEM1	181	24	0.000396151011735618	0.0238675512871653
CYYR1	182	24	0.000410974595342938	0.0246246041879931
MYF6	183	24	0.000429566237754361	0.0255979225284771
SIM1	184	24	0.000432860228192236	0.0256540260241105
FAM83E	185	24	0.000463974312215736	0.0273494047281762
PDE1C	186	24	0.000472364321689487	0.0276942630538917
TCAP	187	24	0.000487907435955889	0.0283327660209321
KCNIP4	188	24	0.00048845117028292	0.0283327660209321
KCNJ8	189	24	0.000500872868858596	0.0287656455783444
ELN	190	24	0.00050118960659197	0.0287656455783444
TRIM58	191	24	0.000518122601521396	0.0295682692378883
PTPRN	192	24	0.000520596762372724	0.0295682692378883
HOXB13	193	24	0.000536073060994091	0.030177366920898
SLC2A5	194	24	0.000538181376347379	0.030177366920898
SOX1	195	24	0.000539622792258149	0.030177366920898
MCHR2	196	24	0.00055527908711648	0.0308944818622715
CAPS	197	22	0.000558920645745443	0.0309392367606805
GRIA4	198	24	0.000574099653125802	0.0314242539738362
ANKRD45	199	24	0.000575564000149183	0.0314242539738362
EMX2	200	24	0.000576327445645781	0.0314242539738362
HOXA7	201	24	0.000579884804627069	0.0314609144002895
MAML2	202	24	0.000592045484521915	0.0319616634094628
ERG	203	24	0.000617926116529163	0.032838278021425
GPR83	204	24	0.000621554648399927	0.032838278021425
FGF10	205	23	0.000625102275215403	0.032838278021425
CNTNAP5	206	24	0.00062525539372776	0.032838278021425
SPAG6	207	24	0.000629346866225123	0.032838278021425
TCF21	208	24	0.000630472446319223	0.032838278021425
C5orf49	209	24	0.00063247391603193	0.032838278021425
P2RX6	210	24	0.000633190455459956	0.032838278021425
KLHDC9	211	24	0.000635385296884059	0.032838278021425
BCAT1	212	24	0.000643106099909476	0.0329487418083158
SV2A	213	24	0.000644190225869543	0.0329487418083158
TM6SF2	214	24	0.000646586955248014	0.0329487418083158
POU6F2	215	24	0.000652793972787109	0.0330590927623547
CR1	216	24	0.000654815592541826	0.0330590927623547
DSC3	217	24	0.000708980691820475	0.0356193034349297
PABPC3	218	24	0.000712059435929819	0.0356193034349297
CNKSR1	219	24	0.000723325035546995	0.036017623345388
EPDR1	220	24	0.00075858606197272	0.0376017318446023
NEUROD1	221	24	0.000772210951379084	0.0381038933248367
CCDC144NL	222	24	0.000802645024374024	0.0394272251837781
CCDC17	223	24	0.000840413813348102	0.0410973660742648
COLEC11	224	24	0.000862318928075715	0.0419803031726146
FOXE3	225	24	0.000887612381058304	0.0430196134019591
SIX3	226	24	0.000911465899116006	0.0439393865947859
PDPN	227	24	0.000916000525201979	0.0439393865947859
DAB1	228	24	0.000918677683962512	0.0439393865947859
SNAP91	229	24	0.000952397907767237	0.0453532715467324
SLC7A4	230	22	0.00095788727551193	0.04541635104112
NAGS	231	24	0.000972403976691717	0.0459050448736934
NFAM1	232	23	0.0009854078233238	0.0463184151437329
OXCT2	233	20	0.00101159877317808	0.0473454275601155
NCAN	234	24	0.00104605010126031	0.0485989744744324
SGK1	235	24	0.00105133478205842	0.0485989744744324
PDK4	236	24	0.0010540920652146	0.0485989744744324
CTF1	237	24	0.00105620879875658	0.0485989744744324
NSA2	238	24	0.00108126570401445	0.0495428676566285
HIST1H3I	239	24	0.00109531833934464	0.0499767635588006
FAIM2	240	24	0.00112391470154751	0.0510678742515648
PYY	241	24	0.0011302905135254	0.0511444732364916
PAX9	242	24	0.00113546709551323	0.051166399489966
GLT1D1	243	24	0.00114325453354445	0.0513053114744948
PKIA	244	24	0.00116907324859069	0.0522489499011536
LAYN	245	24	0.00121954258029592	0.0542041036303381
HSPB6	246	24	0.00122276107226622	0.0542041036303381
IGF2BP1	247	24	0.00124129424316187	0.0548028895614582
ACRBP	248	24	0.00125181278809384	0.0550444292506586
EXOSC2	249	21	0.00126755787611175	0.0555129262610385
COL22A1	250	24	0.00128000721797527	0.0557285873313173
MRGPRE	251	16	0.00128270292711239	0.0557285873313173
LHFPL5	252	24	0.00128952858780344	0.055802814484113
THNSL2	253	24	0.00131532469937603	0.0566941337814055
GNG11	254	24	0.00136436738897449	0.0585764817982947
VIPR2	255	24	0.00137127362096552	0.0586421130848195
DDX25	256	17	0.0014306603399057	0.0609427773698114
PTGDR	257	21	0.00146755002635408	0.0622709456707829
SIX6	258	24	0.00151769463091531	0.0641490695741528
ALOX12	259	24	0.00152594894068633	0.0642489312671214
COL25A1	260	24	0.00153395515581317	0.0643376191313176
HIST1H4L	261	24	0.00155594880320579	0.0650100448235984
HMX2	262	24	0.00159385385842179	0.066339604298052
ALX1	263	24	0.00160731167973479	0.0664144538681635
NEFL	264	24	0.0016129017045917	0.0664144538681635
ZNF454	265	24	0.00161392299633777	0.0664144538681635
SLC26A8	266	24	0.00163541537905441	0.0670458823631142
GFM2	267	24	0.00164217463479642	0.0670708404211797
ZNF689	268	24	0.00164922974242209	0.0671076505265408
DNAH10	269	24	0.00167697135973844	0.0679827980592849
MME	270	24	0.00173507839002267	0.0700778883081379
PLCD1	271	24	0.00174976227467159	0.0703243523460864
ANKRD53	272	24	0.00175407829785745	0.0703243523460864
NAPRT1	273	24	0.00178560774716276	0.0713261995707324
TNFRSF10D	274	23	0.001807021799872	0.0719181486408911
PTH2R	275	24	0.00182020044107044	0.0721792211268115
TRIM17	276	24	0.00182942228743135	0.0722820653784016
CA4	277	24	0.00184858627296315	0.0727755715041991
PCDHA7	278	11	0.00186007348470291	0.0728141611781742
LCN8	279	24	0.00186292076741959	0.0728141611781742
MDFI	280	24	0.00187631877651203	0.0730759152066562
EVX2	281	24	0.00193969459485581	0.0750051991383663
CMYA5	282	24	0.00194482039053202	0.0750051991383663
GJA4	283	24	0.00194648980799245	0.0750051991383663
GPX3	284	20	0.00199759524176786	0.0766736803076721
STAC2	285	24	0.00200385134229129	0.0766736803076721
IRF8	286	24	0.00201488824220631	0.0768264205638456
LCE3A	287	21	0.00202290076067988	0.0768631804711291
PAX3	288	24	0.00203190198559554	0.076937122058748
FEZ1	289	24	0.00204746614639676	0.0772581949012341
CCDC140	290	24	0.00207734732592947	0.078115422721589
PROM1	291	24	0.00212343736115979	0.079574173276452
CLEC4G	292	16	0.00219527680760771	0.0819845670786372
EPO	293	24	0.00221612185610759	0.082480576248646
ZNF880	294	24	0.00222740278523747	0.0826089741668329
DLEC1	295	24	0.0022396266638036	0.0826089741668329
SERPINB9	296	24	0.00224656261779974	0.0826089741668329
PRLHR	297	24	0.00224987302407605	0.0826089741668329
TNFRSF6B	298	24	0.00226192278653539	0.0827727113663371
HOXD8	299	24	0.00230388928264019	0.0837686900578129
TMEFF2	300	24	0.00230450316527683	0.0837686900578129
FOXS1	301	24	0.00232271469325371	0.0840971984802083
CYBA	302	24	0.0023289641394794	0.0840971984802083
CYP11A1	303	24	0.00234227333100112	0.0842986490909808
PCDHA5	304	24	0.00235178927040159	0.0843627039267411
LCAT	305	18	0.00238712608976874	0.0853495410128789
KATNAL2	306	24	0.00246184312265486	0.0875449982621724
C10orf107	307	24	0.00246458637932021	0.0875449982621724
PRKCB	308	24	0.00254387312774967	0.0900679755133448
VSX1	309	24	0.00256011164264554	0.0901383305421221
PRSS50	310	24	0.00256239178982649	0.0901383305421221
CNTNAP2	311	24	0.00257743365932641	0.0903759294371528
PLTP	312	24	0.00261357108113724	0.0913493353839796
CORIN	313	24	0.00262574900732884	0.091481766533294
GCM2	314	24	0.00264067660228292	0.0917088482417047
TMEM155	315	24	0.00269342006306133	0.0932436374212185
TMEM115	316	24	0.00281398388601064	0.0971091591042597
ACVRL1	317	24	0.00283345845930328	0.097472758670985
MIXL1	318	24	0.0028488754505373	0.0976379902411044
NKX2.3	319	24	0.00285616862786908	0.0976379902411044
DMRTA2	320	24	0.00289793094835	0.0987560530992398
TRH	321	24	0.0029413873223733	0.0999247001572611
CORO6	322	24	0.00296696602286728	0.100186925445213
COL4A1	323	24	0.00297024274234103	0.100186925445213
RSPO2	324	24	0.00298211354818264	0.100186925445213
SPACA1	325	24	0.00298585518291556	0.100186925445213
COL4A2	326	24	0.00311300787595945	0.104132978182018
TSPAN2	327	24	0.00314953277373542	0.105010665402915
KCNK17	328	24	0.0031585051125315	0.105010665402915
ZIC1	329	24	0.00322023849316748	0.106737692303925
BARHL2	330	24	0.00325150136971123	0.107447340717276
QRFP	331	24	0.00326429806975303	0.107544321603193
HOXC4	332	24	0.00327915588938731	0.107708418595689
ERCC3	333	24	0.00329198760722377	0.107805179750076
SLC16A12	334	24	0.00330187826440384	0.107805336746479
LEPR	335	24	0.00342118486089779	0.111207274916697
NPFFR2	336	24	0.00343433930569832	0.111207274916697
SLC34A2	337	24	0.00344400157239236	0.111207274916697
HBA1	338	24	0.00344686464207645	0.111207274916697
MFGE8	339	15	0.00349325792993703	0.112225087382142
IGFBP7	340	24	0.00349899401283157	0.112225087382142
AOX1	341	24	0.00350958504875614	0.112234677292333
CDX2	342	24	0.00358348170154472	0.114205874138655
MTNR1B	343	23	0.00359217008982656	0.114205874138655
ADAMTS20	344	24	0.00363578818276946	0.115256599224131
GPR152	345	24	0.00367626365860992	0.11586822532403
SIPA1	346	23	0.0036763325045497	0.11586822532403
RASGRF2	347	24	0.00370249791362475	0.116143675944079
ANKRD33	348	24	0.00370637315254832	0.116143675944079
IRAK2	349	24	0.00388400016141002	0.121247145473898
YOD1	350	24	0.00389147188591144	0.121247145473898
HSPA12B	351	24	0.00390511998117969	0.12132573616742
ECHDC1	352	24	0.00392153313887121	0.121489542270996
DLEU7	353	24	0.0039686069990052	0.122273745029553
SLC30A10	354	24	0.00396927150302261	0.122273745029553
PKP1	355	24	0.00399003367907287	0.122423281366707
RIPPLY2	356	24	0.00400612619263463	0.122423281366707
HTR1B	357	24	0.00400780480952905	0.122423281366707
IZUMO1	358	21	0.00411503776307519	0.125347728509316
FGF2	359	24	0.00415012369858146	0.125927392526467
HOXD9	360	24	0.00416632017954678	0.125927392526467
CNGA3	361	24	0.0041687105641499	0.125927392526467
HOXB8	362	24	0.00420984360600726	0.126566409121438
OTP	363	24	0.00421307716745363	0.126566409121438
GRIN2B	364	24	0.00432028063156661	0.129430385404489
HOXD13	365	24	0.00440083330052169	0.131482430526545
MAB21L2	366	24	0.00445393873467764	0.132705469676666
C11orf88	367	24	0.00447577254080433	0.132992641845971
MOS	368	24	0.0045487071627555	0.134792531548502
TBX15	369	24	0.00462120420362631	0.136569733985217
SRD5A2	370	24	0.00464244603564332	0.136826686537001
ACADS	371	24	0.0047023725986541	0.137998595809871
KCNN4	372	24	0.00470751743615517	0.137998595809871
C2orf40	373	24	0.00475344089824115	0.138971241274316
RYR2	374	24	0.00486841314967144	0.141951993040553
ADAM30	375	24	0.00500438869287149	0.145256792828153
NGDN	376	23	0.00502464093912104	0.145256792828153
FBXL21	377	24	0.00503499645267864	0.145256792828153
PITX2	378	23	0.00503503600999924	0.145256792828153
AVPR1A	379	24	0.00520677676691919	0.149815041275076
KRT8	380	23	0.00523177098724708	0.150138059515604
LTB4R2	381	24	0.00525842034712044	0.150506755604589
SLC5A5	382	24	0.0052914276728434	0.15083855026511
SLC16A5	383	24	0.00529767673099835	0.15083855026511
TXNRD1	384	23	0.00537197590198684	0.152555721904079
TMEM204	385	24	0.00540798199659326	0.153179334215193
TNFRSF8	386	24	0.00543198687986937	0.153460665608745
OTOF	387	24	0.00554121919519636	0.156119276488294
STMN2	388	24	0.00555472528908371	0.156119276488294
CLIP4	389	24	0.00559670995869777	0.156894915423134
CCDC8	390	21	0.00561606355339519	0.157033777050704
ACTN2	391	24	0.00566771775563127	0.157514529890003
SYNE1	392	24	0.00567754499788752	0.157514529890003
TSPAN11	393	24	0.00568108547619449	0.157514529890003
AURKC	394	22	0.0056910339089098	0.157514529890003
CIDEB	395	24	0.00572922248558074	0.158170053684197
PRR23B	396	24	0.00574535391432936	0.158214859686267
MSC	397	24	0.0057702285022966	0.158499601555527
TRMT12	398	24	0.00582362342686055	0.159434493811932
ADCY8	399	24	0.00583350417523712	0.159434493811932
HS3ST2	400	24	0.00585705272101087	0.159677899806559
KCNH4	401	24	0.00588028997978893	0.159911626507726
CCKBR	402	24	0.00597377225968361	0.161407943519043
BOLL	403	24	0.00597385242660451	0.161407943519043
ZNF300	404	19	0.00597971656870181	0.161407943519043
GHSR	405	24	0.00605595835537909	0.16306228608743
DKK3	406	24	0.00617793449482519	0.165936885877016
VIM	407	24	0.00621714921629229	0.166579882564293
HPSE2	408	24	0.00623372311568199	0.166614584746353
ZNF280B	409	24	0.00626629982797812	0.166987042625089
IRF4	410	24	0.0063067784127292	0.166987042625089
WBSCR17	411	24	0.0063080841284954	0.166987042625089
CES1	412	24	0.00630890981765581	0.166987042625089
C1QL2	413	24	0.00640687730185039	0.168215346408851
CPNE8	414	24	0.00641051787135446	0.168215346408851
NHLRC1	415	24	0.00642059979098644	0.168215346408851
CKM	416	24	0.00642806791171519	0.168215346408851
SYCE1	417	24	0.00643244378289692	0.168215346408851
BTG4	418	24	0.00645289362973591	0.168346423522177
MAGI2	419	24	0.0065599909321868	0.170731983569205
CD248	420	24	0.00659160744506651	0.17114637902012
WT1	421	24	0.00661346612695864	0.171306052528466
NRTN	422	10	0.00668361225399505	0.172712776373972
OXT	423	24	0.0067434191543725	0.173846302313078
C17orf104	424	24	0.00676744417782874	0.174054195186845
TTYH1	425	24	0.00680197108037313	0.174530575603456
ARSI	426	24	0.0069594441354351	0.177932308371553
ALDH1L1	427	24	0.00696717979593335	0.177932308371553
TRIM71	428	24	0.0070025896888645	0.17802552456694
FBLIM1	429	24	0.00700348005861691	0.17802552456694
CYB5A	430	18	0.00709346930042665	0.179893680746867
SSTR1	431	24	0.00725886965713449	0.183661191672973
CH25H	432	24	0.00735141671589146	0.185572220571288
TOX2	433	24	0.00737013348733901	0.185615024663815
TLX2	434	24	0.00741983175338582	0.186436095093715
SLC10A4	435	24	0.00744663332500848	0.186679394044178
GFI1	436	24	0.00750521887261529	0.187716540839151
EDNRA	437	21	0.00762289699415521	0.189861064927716
FAM3B	438	24	0.00762826983091189	0.189861064927716
ATP5G2	439	19	0.00764319188475628	0.189861064927716
CDH8	440	24	0.00766990319561607	0.190091578064076
GPNMB	441	24	0.00779347580554994	0.192716221450164
FABP5	442	24	0.0078407213765306	0.193263822490002
FOXB1	443	24	0.00785106587465116	0.193263822490002
FOXG1	444	24	0.00790908084807456	0.194253438396966
KIFC3	445	24	0.00794901327873197	0.194795482706904
PER1	446	24	0.00800676142951149	0.195770702665522
TFAP2D	447	24	0.00815536225403053	0.198957998613429
C19orf55	448	24	0.0081758941220894	0.198982551427088
CYP26C1	449	24	0.00819286250259169	0.198982551427088
EPHA5	450	24	0.00821818085735516	0.199153916109907
NID1	451	24	0.00823671398403729	0.199160456753718
GALR1	452	24	0.00833657061007888	0.201128987838297
BICC1	453	24	0.00838381032503939	0.201822188950451
L3MBTL4	454	24	0.00845661602024397	0.203126426653657
NECAB1	455	24	0.00851958286422123	0.204189123372159
UCN3	456	23	0.00856056688468841	0.204721451485805
SRRM4	457	20	0.00859691248432685	0.205140767268237
LOR	458	24	0.00869869188559881	0.207116233651649
BHMT2	459	24	0.0088288879472675	0.209254552925706
SLITRK3	460	24	0.0088536610796773	0.209254552925706
ACOT12	461	24	0.00885849001739635	0.209254552925706
SMC1B	462	24	0.00886525478694877	0.209254552925706
CCDC65	463	24	0.00890889018121515	0.209830340013286
ADARB2	464	24	0.00892966527420941	0.209866378912185
AIPL1	465	19	0.00895520808660044	0.210014073514791
RIBC2	466	24	0.00897842222210135	0.210106640197458
HAS2	467	24	0.00899939044644703	0.210146365778383
ADRA1D	468	24	0.00905152657447126	0.21091217370643
STAC	469	24	0.00909662562987047	0.211091362342564
DMGDH	470	24	0.00909793125181155	0.211091362342564
WDR86	471	24	0.00915925967412717	0.212063114111161
MT1A	472	24	0.00918996224109927	0.212323174235567
UTS2R	473	24	0.00921345428112865	0.212415896269996
SLC18A3	474	24	0.00940448667237081	0.216362715532075
AIRE	475	24	0.00952101093065774	0.218277997150058
RNF186	476	24	0.00952776952255181	0.218277997150058
GABRB2	477	24	0.00976260777641931	0.223189177781662
ADC	478	22	0.00996671906148315	0.227145076393819
KCNAB3	479	24	0.00997730321803203	0.227145076393819
SLC6A17	480	24	0.00999942522691863	0.227174441874058
NPY	481	24	0.0100299586717759	0.22739438527176
FBRS	482	22	0.010055361282234	0.227497333574194
PDE4B	483	24	0.010094355014562	0.227906711043061
RPL37	484	23	0.0102672775929141	0.230998266138157
HEPN1	485	24	0.0102736505343426	0.230998266138157
ENPEP	486	24	0.0103093695864083	0.231324434855519
EFNA4	487	24	0.0104682195568612	0.234406435867704
POU4F2	488	24	0.0105062742756603	0.234776477409991
NPR2	489	24	0.0105344363578888	0.234924393625311
MT1G	490	24	0.0106095589514283	0.236116817072093
LEP	491	24	0.0106382498221944	0.236273145236314
SLC7A14	492	24	0.0107190434218069	0.236849189097037
ZNF572	493	23	0.0107432359648167	0.236849189097037
